OG0001727	LdBPK_130005500.1	LbrM.13.2.000060.1-p1	LINF_130005500-T1-p1	LmjF.13.0060_mRNA-p1	LmxM.13.0060.1-p1
OG0001728	LdBPK_130005700.1	LbrM.13.2.000070.1-p1	LINF_130005700-T1-p1	LmjF.13.0080_mRNA-p1	LmxM.13.0080.1-p1
OG0001729	LdBPK_130005800.1	LbrM.13.2.000080.1-p1	LINF_130005800-T1-p1	LmjF.13.0090_mRNA-p1	LmxM.13.0090.1-p1
OG0001730	LdBPK_130005900.1	LbrM.13.2.000090.1-p1	LINF_130005900-T1-p1	LmjF.13.0100_mRNA-p1	LmxM.13.0100.1-p1
OG0001731	LdBPK_130006000.1	LbrM.13.2.000100.1-p1	LINF_130006000-T1-p1	LmjF.13.0110_mRNA-p1	LmxM.13.0110.1-p1
OG0001732	LdBPK_130006100.1	LbrM.13.2.000110.1-p1	LINF_130006100-T1-p1	LmjF.13.0120_mRNA-p1	LmxM.13.0120.1-p1
OG0001733	LdBPK_130006200.1	LbrM.13.2.000120.1-p1	LINF_130006200-T1-p1	LmjF.13.0130_mRNA-p1	LmxM.13.0130.1-p1
OG0001734	LdBPK_130006300.1	LbrM.13.2.000130.1-p1	LINF_130006300-T1-p1	LmjF.13.0140_mRNA-p1	LmxM.13.0140.1-p1
OG0001735	LdBPK_130006400.1	LbrM.13.2.000140.1-p1	LINF_130006400-T1-p1	LmjF.13.0150_mRNA-p1	LmxM.13.0150.1-p1
OG0001736	LdBPK_130006500.1	LbrM.13.2.000150.1-p1	LINF_130006500-T1-p1	LmjF.13.0160_mRNA-p1	LmxM.13.0160.1-p1
OG0001737	LdBPK_130006600.1	LbrM.13.2.000160.1-p1	LINF_130006600-T1-p1	LmjF.13.0170_mRNA-p1	LmxM.13.0170.1-p1
OG0001738	LdBPK_130006700.1	LbrM.13.2.000170.1-p1	LINF_130006700-T1-p1	LmjF.13.0180_mRNA-p1	LmxM.13.0180.1-p1
OG0001739	LdBPK_130006800.1	LbrM.13.2.000180.1-p1	LINF_130006800-T1-p1	LmjF.13.0190_mRNA-p1	LmxM.13.0190.1-p1
OG0001740	LdBPK_130007000.1	LbrM.29.2.002680.1-p1	LINF_130007000-T1-p1	LmjF.13.0210_mRNA-p1	LmxM.13.0210.1-p1
OG0001741	LdBPK_130007100.1	LbrM.29.2.002670.1-p1	LINF_130007100-T1-p1	LmjF.13.0220_mRNA-p1	LmxM.13.0220.1-p1
OG0001742	LdBPK_130007200.1	LbrM.29.2.002660.1-p1	LINF_130007200-T1-p1	LmjF.13.0230_mRNA-p1	LmxM.13.0230.1-p1
OG0001743	LdBPK_130007400.1	LbrM.29.2.002730.1-p1	LINF_130007400-T1-p1	LmjF.13.0250_mRNA-p1	LmxM.13.0250.1-p1
OG0001744	LdBPK_130007500.1	LbrM.29.2.002720.1-p1	LINF_130007500-T1-p1	LmjF.13.0260_mRNA-p1	LmxM.13.0260.1-p1
OG0001745	LdBPK_130007600.1	LbrM.29.2.002710.1-p1	LINF_130007600-T1-p1	LmjF.13.0270_mRNA-p1	LmxM.13.0270.1-p1
OG0001746	LdBPK_130008600.1	LbrM.13.2.000220.1-p1	LINF_130008900-T1-p1	LmjF.13.0400_mRNA-p1	LmxM.13.0400.1-p1
OG0001747	LdBPK_130008700.1	LbrM.13.2.000230.1-p1	LINF_130009000-T1-p1	LmjF.13.0410_mRNA-p1	LmxM.13.0410.1-p1
OG0001748	LdBPK_130008800.1	LbrM.13.2.000240.1-p1	LINF_130009100-T1-p1	LmjF.13.0420_mRNA-p1	LmxM.13.0420.1-p1
OG0001749	LdBPK_130008900.1	LbrM.13.2.000250.1-p1	LINF_130009200-T1-p1	LmjF.13.0430_mRNA-p1	LmxM.13.0430.1-p1
OG0001750	LdBPK_130009000.1	LbrM.13.2.000260.1-p1	LINF_130009300-T1-p1	LmjF.13.0440_mRNA-p1	LmxM.13.0440.1-p1
OG0001751	LdBPK_130009100.1	LbrM.13.2.000270.1-p1	LINF_130009400-T1-p1	LmjF.13.0450_mRNA-p1	LmxM.13.0450.1-p1
OG0001752	LdBPK_130009200.1	LbrM.13.2.000280.1-p1	LINF_130009500-T1-p1	LmjF.13.0460_mRNA-p1	LmxM.13.0460.1-p1
OG0001753	LdBPK_130009400.1	LbrM.13.2.000300.1-p1	LINF_130009700-T1-p1	LmjF.13.0480_mRNA-p1	LmxM.13.0480.1-p1
OG0001754	LdBPK_130009500.1	LbrM.13.2.000310.1-p1	LINF_130009800-T1-p1	LmjF.13.0490_mRNA-p1	LmxM.13.0490.1-p1
OG0001755	LdBPK_130009600.1	LbrM.13.2.000320.1-p1	LINF_130009900-T1-p1	LmjF.13.0500_mRNA-p1	LmxM.13.0500.1-p1
OG0001756	LdBPK_130009700.1	LbrM.13.2.000330.1-p1	LINF_130010000-T1-p1	LmjF.13.0510_mRNA-p1	LmxM.13.0510.1-p1
OG0001757	LdBPK_130009800.1	LbrM.13.2.000340.1-p1	LINF_130010100-T1-p1	LmjF.13.0520_mRNA-p1	LmxM.13.0520.1-p1
OG0001758	LdBPK_130009900.1	LbrM.13.2.000350.1-p1	LINF_130010200-T1-p1	LmjF.13.0530_mRNA-p1	LmxM.13.0530.1-p1
OG0001759	LdBPK_130010000.1	LbrM.13.2.000360.1-p1	LINF_130010300-T1-p1	LmjF.13.0540_mRNA-p1	LmxM.13.0540.1-p1
OG0001760	LdBPK_130010100.1	LbrM.13.2.000370.1-p1	LINF_130010400-T1-p1	LmjF.13.0550_mRNA-p1	LmxM.13.0550.1-p1
OG0001761	LdBPK_130010300.1	LbrM.13.2.000390.1-p1	LINF_130010600-T1-p1	LmjF.13.0570_mRNA-p1	LmxM.13.0570.1-p1
OG0001762	LdBPK_130010400.1	LbrM.13.2.000400.1-p1	LINF_130010700-T1-p1	LmjF.13.0580_mRNA-p1	LmxM.13.0580.1-p1
OG0001763	LdBPK_130010500.1	LbrM.13.2.000410.1-p1	LINF_130010800-T1-p1	LmjF.13.0590_mRNA-p1	LmxM.13.0590.1-p1
OG0001764	LdBPK_130010600.1	LbrM.13.2.000420.1-p1	LINF_130010900-T1-p1	LmjF.13.0600_mRNA-p1	LmxM.13.0600.1-p1
OG0001765	LdBPK_130010700.1	LbrM.13.2.000430.1-p1	LINF_130011000-T1-p1	LmjF.13.0610_mRNA-p1	LmxM.13.0610.1-p1
OG0001766	LdBPK_130010800.1	LbrM.13.2.000440.1-p1	LINF_130011100-T1-p1	LmjF.13.0620_mRNA-p1	LmxM.13.0620.1-p1
OG0001767	LdBPK_130010900.1	LbrM.13.2.000450.1-p1	LINF_130011200-T1-p1	LmjF.13.0630_mRNA-p1	LmxM.13.0630.1-p1
OG0001768	LdBPK_130011000.1	LbrM.13.2.000460.1-p1	LINF_130011300-T1-p1	LmjF.13.0640_mRNA-p1	LmxM.13.0640.1-p1
OG0001769	LdBPK_130011100.1	LbrM.13.2.000470.1-p1	LINF_130011400-T1-p1	LmjF.13.0650_mRNA-p1	LmxM.13.0650.1-p1
OG0001770	LdBPK_130011200.1	LbrM.13.2.000480.1-p1	LINF_130011500-T1-p1	LmjF.13.0660_mRNA-p1	LmxM.13.0660.1-p1
OG0001771	LdBPK_130011300.1	LbrM.13.2.000490.1-p1	LINF_130011600-T1-p1	LmjF.13.0670_mRNA-p1	LmxM.13.0670.1-p1
OG0001772	LdBPK_130011400.1	LbrM.13.2.000500.1-p1	LINF_130011700-T1-p1	LmjF.13.0680_mRNA-p1	LmxM.13.0680.1-p1
OG0001773	LdBPK_130011500.1	LbrM.13.2.000510.1-p1	LINF_130011800-T1-p1	LmjF.13.0690_mRNA-p1	LmxM.13.0690.1-p1
OG0001774	LdBPK_130011600.1	LbrM.13.2.000520.1-p1	LINF_130011900-T1-p1	LmjF.13.0700_mRNA-p1	LmxM.13.0700.1-p1
OG0001775	LdBPK_130011700.1	LbrM.13.2.000530.1-p1	LINF_130012000-T1-p1	LmjF.13.0710_mRNA-p1	LmxM.13.0710.1-p1
OG0001776	LdBPK_130011900.1	LbrM.13.2.000550.1-p1	LINF_130012200-T1-p1	LmjF.13.0730_mRNA-p1	LmxM.13.0730.1-p1
OG0001777	LdBPK_130012000.1	LbrM.13.2.000560.1-p1	LINF_130012300-T1-p1	LmjF.13.0740_mRNA-p1	LmxM.13.0740.1-p1
OG0001778	LdBPK_130012100.1	LbrM.13.2.000570.1-p1	LINF_130012400-T1-p1	LmjF.13.0750_mRNA-p1	LmxM.13.0750.1-p1
OG0001779	LdBPK_130012200.1	LbrM.13.2.000580.1-p1	LINF_130012500-T1-p1	LmjF.13.0760_mRNA-p1	LmxM.13.0760.1-p1
OG0001780	LdBPK_130012300.1	LbrM.13.2.000590.1-p1	LINF_130012600-T1-p1	LmjF.13.0770_mRNA-p1	LmxM.13.0770.1-p1
OG0001781	LdBPK_130012400.1	LbrM.13.2.000600.1-p1	LINF_130012700-T1-p1	LmjF.13.0780_mRNA-p1	LmxM.13.0780.1-p1
OG0001782	LdBPK_130012500.1	LbrM.13.2.000610.1-p1	LINF_130012800-T1-p1	LmjF.13.0790_mRNA-p1	LmxM.13.0790.1-p1
OG0001783	LdBPK_130012600.1	LbrM.13.2.000620.1-p1	LINF_130012900-T1-p1	LmjF.13.0800_mRNA-p1	LmxM.13.0800.1-p1
OG0001784	LdBPK_130012700.1	LbrM.13.2.001590.1-p1	LINF_130013000-T1-p1	LmjF.13.0810_mRNA-p1	LmxM.13.0810.1-p1
OG0001785	LdBPK_130012800.1	LbrM.13.2.000630.1-p1	LINF_130013100-T1-p1	LmjF.13.0820_mRNA-p1	LmxM.13.0820.1-p1
OG0001786	LdBPK_130012900.1	LbrM.13.2.000640.1-p1	LINF_130013200-T1-p1	LmjF.13.0830_mRNA-p1	LmxM.13.0830.1-p1
OG0001787	LdBPK_130013000.1	LbrM.13.2.000650.1-p1	LINF_130013300-T1-p1	LmjF.13.0840_mRNA-p1	LmxM.13.0840.1-p1
OG0001788	LdBPK_130013100.1	LbrM.13.2.000660.1-p1	LINF_130013400-T1-p1	LmjF.13.0850_mRNA-p1	LmxM.13.0850.1-p1
OG0001789	LdBPK_130013200.1	LbrM.13.2.000670.1-p1	LINF_130013500-T1-p1	LmjF.13.0860_mRNA-p1	LmxM.13.0860.1-p1
OG0001790	LdBPK_130013300.1	LbrM.13.2.000680.1-p1	LINF_130013600-T1-p1	LmjF.13.0870_mRNA-p1	LmxM.13.0870.1-p1
OG0001791	LdBPK_130013400.1	LbrM.13.2.000690.1-p1	LINF_130013700-T1-p1	LmjF.13.0880_mRNA-p1	LmxM.13.0880.1-p1
OG0001792	LdBPK_130013500.1	LbrM.13.2.000700.1-p1	LINF_130013800-T1-p1	LmjF.13.0890_mRNA-p1	LmxM.13.0890.1-p1
OG0001793	LdBPK_130013600.1	LbrM.13.2.000710.1-p1	LINF_130013900-T1-p1	LmjF.13.0900_mRNA-p1	LmxM.13.0900.1-p1
OG0001794	LdBPK_130013700.1	LbrM.13.2.000720.1-p1	LINF_130014000-T1-p1	LmjF.13.0910_mRNA-p1	LmxM.13.0910.1-p1
OG0001795	LdBPK_130013800.1	LbrM.13.2.000730.1-p1	LINF_130014100-T1-p1	LmjF.13.0920_mRNA-p1	LmxM.13.0920.1-p1
OG0001796	LdBPK_130013900.1	LbrM.13.2.000740.1-p1	LINF_130014200-T1-p1	LmjF.13.0930_mRNA-p1	LmxM.13.0930.1-p1
OG0001797	LdBPK_130014000.1	LbrM.13.2.000750.1-p1	LINF_130014300-T1-p1	LmjF.13.0940_mRNA-p1	LmxM.13.0940.1-p1
OG0001798	LdBPK_130014100.1	LbrM.13.2.204200.1-p1	LINF_130014400-T1-p1	LmjF.13.0950_mRNA-p1	LmxM.13.0950.1-p1
OG0001799	LdBPK_130014200.1	LbrM.13.2.000770.1-p1	LINF_130014500-T1-p1	LmjF.13.0960_mRNA-p1	LmxM.13.0960.1-p1
OG0001800	LdBPK_130014300.1	LbrM.13.2.000780.1-p1	LINF_130014600-T1-p1	LmjF.13.0970_mRNA-p1	LmxM.13.0970.1-p1
OG0001801	LdBPK_130014400.1	LbrM.13.2.000790.1-p1	LINF_130014700-T1-p1	LmjF.13.0980_mRNA-p1	LmxM.13.0980.1-p1
OG0001802	LdBPK_130014500.1	LbrM.13.2.000800.1-p1	LINF_130014800-T1-p1	LmjF.13.0990_mRNA-p1	LmxM.13.0990.1-p1
OG0001803	LdBPK_130014600.1	LbrM.13.2.000810.1-p1	LINF_130014900-T1-p1	LmjF.13.1000_mRNA-p1	LmxM.13.1000.1-p1
OG0001804	LdBPK_130014700.1	LbrM.13.2.000820.1-p1	LINF_130015000-T1-p1	LmjF.13.1010_mRNA-p1	LmxM.13.1010.1-p1
OG0001805	LdBPK_130014800.1	LbrM.13.2.000830.1-p1	LINF_130015100-T1-p1	LmjF.13.1020_mRNA-p1	LmxM.13.1020.1-p1
OG0001806	LdBPK_130014900.1	LbrM.13.2.000850.1-p1	LINF_130015200-T1-p1	LmjF.13.1030_mRNA-p1	LmxM.13.1030.1-p1
OG0001807	LdBPK_130015000.1	LbrM.13.2.000860.1-p1	LINF_130015300-T1-p1	LmjF.13.1040_mRNA-p1	LmxM.13.1040.1-p1
OG0001808	LdBPK_130015200.1	LbrM.13.2.000870.1-p1	LINF_130015500-T1-p1	LmjF.13.1050_mRNA-p1	LmxM.13.1050.1-p1
OG0001809	LdBPK_130015300.1	LbrM.13.2.000880.1-p1	LINF_130015600-T1-p1	LmjF.13.1060_mRNA-p1	LmxM.13.1060.1-p1
OG0001810	LdBPK_130015600.1	LbrM.13.2.000890.1-p1	LINF_130015900-T1-p1	LmjF.13.1090_mRNA-p1	LmxM.13.1090.1-p1
OG0001811	LdBPK_130015800.1	LbrM.13.2.000910.1-p1	LINF_130016100-T1-p1	LmjF.13.1110_mRNA-p1	LmxM.13.1110.1-p1
OG0001812	LdBPK_130015900.1	LbrM.13.2.000920.1-p1	LINF_130016200-T1-p1	LmjF.13.1120_mRNA-p1	LmxM.13.1120.1-p1
OG0001813	LdBPK_130016000.1	LbrM.13.2.000930.1-p1	LINF_130016300-T1-p1	LmjF.13.1130_mRNA-p1	LmxM.13.1130.1-p1
OG0001814	LdBPK_130016100.1	LbrM.13.2.000940.1-p1	LINF_130016400-T1-p1	LmjF.13.1140_mRNA-p1	LmxM.13.1140.1-p1
OG0001815	LdBPK_130016200.1	LbrM.13.2.000950.1-p1	LINF_130016500-T1-p1	LmjF.13.1150_mRNA-p1	LmxM.13.1150.1-p1
OG0001816	LdBPK_130016500.1	LbrM.13.2.000960.1-p1	LINF_130016800-T1-p1	LmjF.13.1180.2_mRNA-p1	LmxM.13.1180.1-p1
OG0001817	LdBPK_130016600.1	LbrM.13.2.000970.1-p1	LINF_130016900-T1-p1	LmjF.13.1190_mRNA-p1	LmxM.13.1190.1-p1
OG0001818	LdBPK_130016700.1	LbrM.13.2.000980.1-p1	LINF_130017000-T1-p1	LmjF.13.1200_mRNA-p1	LmxM.13.1200.1-p1
OG0001819	LdBPK_130017100.1	LbrM.13.2.001010.1-p1	LINF_130017400-T1-p1	LmjF.13.1240_mRNA-p1	LmxM.13.1240.1-p1
OG0001820	LdBPK_130017400.1	LbrM.13.2.001030.1-p1	LINF_130017700-T1-p1	LmjF.13.1260_mRNA-p1	LmxM.13.1260.1-p1
OG0001821	LdBPK_130017600.1	LbrM.13.2.001040.1-p1	LINF_130017900-T1-p1	LmjF.13.1270_mRNA-p1	LmxM.13.1270.1-p1
OG0001822	LdBPK_130017700.1	LbrM.13.2.001050.1-p1	LINF_130018000-T1-p1	LmjF.13.1280_mRNA-p1	LmxM.13.1280.1-p1
OG0001823	LdBPK_130017800.1	LbrM.13.2.001060.1-p1	LINF_130018100-T1-p1	LmjF.13.1290_mRNA-p1	LmxM.13.1290.1-p1
OG0001824	LdBPK_130017900.1	LbrM.13.2.001070.1-p1	LINF_130018200-T1-p1	LmjF.13.1300_mRNA-p1	LmxM.13.1300.1-p1
OG0001825	LdBPK_130018000.1	LbrM.13.2.001080.1-p1	LINF_130018300-T1-p1	LmjF.13.1310_mRNA-p1	LmxM.13.1310.1-p1
OG0001826	LdBPK_130018100.1	LbrM.13.2.001090.1-p1	LINF_130018400-T1-p1	LmjF.13.1320_mRNA-p1	LmxM.13.1320.1-p1
OG0001827	LdBPK_130018200.1	LbrM.13.2.001100.1-p1	LINF_130018500-T1-p1	LmjF.13.1330_mRNA-p1	LmxM.13.1330.1-p1
OG0001828	LdBPK_130018300.1	LbrM.13.2.001110.1-p1	LINF_130018600-T1-p1	LmjF.13.1340_mRNA-p1	LmxM.13.1340.1-p1
OG0001829	LdBPK_130018400.1	LbrM.13.2.001120.1-p1	LINF_130018700-T1-p1	LmjF.13.1350_mRNA-p1	LmxM.13.1350.1-p1
OG0001830	LdBPK_130018500.1	LbrM.13.2.001130.1-p1	LINF_130018800-T1-p1	LmjF.13.1360_mRNA-p1	LmxM.13.1360.1-p1
OG0001831	LdBPK_130018600.1	LbrM.13.2.001140.1-p1	LINF_130018900-T1-p1	LmjF.13.1370_mRNA-p1	LmxM.13.1370.1-p1
OG0001832	LdBPK_130018700.1	LbrM.13.2.001150.1-p1	LINF_130019000-T1-p1	LmjF.13.1380_mRNA-p1	LmxM.13.1380.1-p1
OG0001833	LdBPK_130018800.1	LbrM.13.2.001160.1-p1	LINF_130019100-T1-p1	LmjF.13.1390_mRNA-p1	LmxM.13.1390.1-p1
OG0001834	LdBPK_130018900.1	LbrM.13.2.001170.1-p1	LINF_130019200-T1-p1	LmjF.13.1400_mRNA-p1	LmxM.13.1400.1-p1
OG0001835	LdBPK_130019100.1	LbrM.13.2.001180.1-p1	LINF_130019400-T1-p1	LmjF.13.1410_mRNA-p1	LmxM.13.1410.1-p1
OG0001836	LdBPK_130019200.1	LbrM.13.2.001190.1-p1	LINF_130019500-T1-p1	LmjF.13.1420_mRNA-p1	LmxM.13.1420.1-p1
OG0001837	LdBPK_130019400.1	LbrM.13.2.001200.1-p1	LINF_130019700-T1-p1	LmjF.13.1430_mRNA-p1	LmxM.13.1430.1-p1
OG0001838	LdBPK_130019500.1	LbrM.13.2.001210.1-p1	LINF_130019800-T1-p1	LmjF.13.1440_mRNA-p1	LmxM.13.1440.1-p1
OG0001839	LdBPK_130019700.1	LbrM.13.2.001220.1-p1	LINF_130020000-T1-p1	LmjF.13.1460_mRNA-p1	LmxM.13.1460.1-p1
OG0001840	LdBPK_130019800.1	LbrM.13.2.001230.1-p1	LINF_130020100-T1-p1	LmjF.13.1470_mRNA-p1	LmxM.13.1470.1-p1
OG0001841	LdBPK_130019900.1	LbrM.13.2.001240.1-p1	LINF_130020200-T1-p1	LmjF.13.1480_mRNA-p1	LmxM.13.1480.1-p1
OG0001842	LdBPK_130020000.1	LbrM.13.2.001250.1-p1	LINF_130020300-T1-p1	LmjF.13.1490_mRNA-p1	LmxM.13.1490.1-p1
OG0001843	LdBPK_130020100.1	LbrM.13.2.001260.1-p1	LINF_130020400-T1-p1	LmjF.13.1500_mRNA-p1	LmxM.13.1500.1-p1
OG0001844	LdBPK_130020400.1	LbrM.13.2.001280.1-p1	LINF_130020700-T1-p1	LmjF.13.1520_mRNA-p1	LmxM.13.1520.1-p1
OG0001845	LdBPK_130020700.1	LbrM.13.2.001410.1-p1	LINF_130021000-T1-p1	LmjF.13.1550_mRNA-p1	LmxM.13.1550.1-p1
OG0001846	LdBPK_130020800.1	LbrM.13.2.001420.1-p1	LINF_130021100-T1-p1	LmjF.13.1560_mRNA-p1	LmxM.13.1560.1-p1
OG0001847	LdBPK_130021000.1	LbrM.13.2.001440.1-p1	LINF_130021300-T1-p1	LmjF.13.1580_mRNA-p1	LmxM.13.1580.1-p1
OG0001848	LdBPK_130021100.1	LbrM.13.2.001450.1-p1	LINF_130021400-T1-p1	LmjF.13.1590_mRNA-p1	LmxM.13.1590.1-p1
OG0001849	LdBPK_130021200.1	LbrM.13.2.001460.1-p1	LINF_130021500-T1-p1	LmjF.13.1600_mRNA-p1	LmxM.13.1600.1-p1
OG0001850	LdBPK_130021300.1	LbrM.13.2.001470.1-p1	LINF_130021600-T1-p1	LmjF.13.1610_mRNA-p1	LmxM.13.1610.1-p1
OG0001851	LdBPK_130021400.1	LbrM.13.2.001480.1-p1	LINF_130021700-T1-p1	LmjF.13.1620_mRNA-p1	LmxM.13.1620.1-p1
OG0001852	LdBPK_130021500.1	LbrM.13.2.001490.1-p1	LINF_130021800-T1-p1	LmjF.13.1630_mRNA-p1	LmxM.13.1630.1-p1
OG0001853	LdBPK_130021600.1	LbrM.13.2.001500.1-p1	LINF_130021900-T1-p1	LmjF.13.1640_mRNA-p1	LmxM.13.1640.1-p1
OG0001854	LdBPK_130021700.1	LbrM.13.2.001510.1-p1	LINF_130022000-T1-p1	LmjF.13.1650_mRNA-p1	LmxM.13.1650.1-p1
OG0001855	LdBPK_130021800.1	LbrM.13.2.001520.1-p1	LINF_130022100-T1-p1	LmjF.13.1660_mRNA-p1	LmxM.13.1660.1-p1
OG0001856	LdBPK_130022000.1	LbrM.13.2.001540.1-p1	LINF_130022300-T1-p1	LmjF.13.1680_mRNA-p1	LmxM.13.1680.1-p1
OG0001857	LdBPK_130022100.1	LbrM.13.2.204290.1-p1	LINF_130022400-T1-p1	LmjF.13.1690_mRNA-p1	LmxM.13.1690.1-p1
OG0001858	LdBPK_130022200.1	LbrM.13.2.001560.1-p1	LINF_130022500-T1-p1	LmjF.13.1700_mRNA-p1	LmxM.13.1700.1-p1
OG0001859	LdBPK_140005000.1	LbrM.14.2.000010.1-p1	LINF_140005000-T1-p1	LmjF.14.0010_mRNA-p1	LmxM.14.0010.1-p1
OG0001860	LdBPK_140005100.1	LbrM.14.2.000020.1-p1	LINF_140005100-T1-p1	LmjF.14.0020_pseudogenic_transcript-p1	LmxM.14.0020.1-p1
OG0001861	LdBPK_140005200.1	LbrM.14.2.000030.1-p1	LINF_140005200-T1-p1	LmjF.14.0030_mRNA-p1	LmxM.14.0030.1-p1
OG0001862	LdBPK_140005300.1	LbrM.14.2.000040.1-p1	LINF_140005300-T1-p1	LmjF.14.0040_mRNA-p1	LmxM.14.0040.1-p1
OG0001863	LdBPK_140005400.1	LbrM.14.2.000050.1-p1	LINF_140005400-T1-p1	LmjF.14.0050_mRNA-p1	LmxM.14.0050.1-p1
OG0001864	LdBPK_140005500.1	LbrM.14.2.000060.1-p1	LINF_140005500-T1-p1	LmjF.14.0060_mRNA-p1	LmxM.14.0060.1-p1
OG0001865	LdBPK_140005600.1	LbrM.14.2.000070.1-p1	LINF_140005600-T1-p1	LmjF.14.0070_mRNA-p1	LmxM.14.0070.1-p1
OG0001866	LdBPK_140005700.1	LbrM.14.2.000080.1-p1	LINF_140005700-T1-p1	LmjF.14.0080_mRNA-p1	LmxM.14.0080.1-p1
OG0001867	LdBPK_140005800.1	LbrM.14.2.000090.1-p1	LINF_140005800-T1-p1	LmjF.14.0090_mRNA-p1	LmxM.14.0090.1-p1
OG0001868	LdBPK_140005900.1	LbrM.14.2.000100.1-p1	LINF_140005900-T1-p1	LmjF.14.0100_mRNA-p1	LmxM.14.0100.1-p1
OG0001869	LdBPK_140006000.1	LbrM.14.2.000110.1-p1	LINF_140006000-T1-p1	LmjF.14.0110_mRNA-p1	LmxM.14.0110.1-p1
OG0001870	LdBPK_140006100.1	LbrM.14.2.000120.1-p1	LINF_140006100-T1-p1	LmjF.14.0120_mRNA-p1	LmxM.14.0120.1-p1
OG0001871	LdBPK_140006200.1	LbrM.14.2.000130.1-p1	LINF_140006200-T1-p1	LmjF.14.0130_mRNA-p1	LmxM.14.0130.1-p1
OG0001872	LdBPK_140006300.1	LbrM.14.2.000140.1-p1	LINF_140006300-T1-p1	LmjF.14.0140_mRNA-p1	LmxM.14.0140.1-p1
OG0001873	LdBPK_140006400.1	LbrM.14.2.000150.1-p1	LINF_140006400-T1-p1	LmjF.14.0150_mRNA-p1	LmxM.14.0150.1-p1
OG0001874	LdBPK_140006500.1	LbrM.14.2.000160.1-p1	LINF_140006500-T1-p1	LmjF.14.0160_mRNA-p1	LmxM.14.0160.1-p1
OG0001875	LdBPK_140006600.1	LbrM.14.2.000170.1-p1	LINF_140006600-T1-p1	LmjF.14.0170_mRNA-p1	LmxM.14.0170.1-p1
OG0001876	LdBPK_140006800.1	LbrM.14.2.000190.1-p1	LINF_140006800-T1-p1	LmjF.14.0190_mRNA-p1	LmxM.14.0190.1-p1
OG0001877	LdBPK_140006900.1	LbrM.14.2.000200.1-p1	LINF_140006900-T1-p1	LmjF.14.0200_mRNA-p1	LmxM.14.0200.1-p1
OG0001878	LdBPK_140007000.1	LbrM.14.2.000210.1-p1	LINF_140007000-T1-p1	LmjF.14.0210_mRNA-p1	LmxM.14.0210.1-p1
OG0001879	LdBPK_140007100.1	LbrM.14.2.000220.1-p1	LINF_140007100-T1-p1	LmjF.14.0220_mRNA-p1	LmxM.14.0220.1-p1
OG0001880	LdBPK_140007300.1	LbrM.14.2.000230.1-p1	LINF_140007300-T1-p1	LmjF.14.0230_mRNA-p1	LmxM.14.0230.1-p1
OG0001881	LdBPK_140007400.1	LbrM.14.2.000240.1-p1	LINF_140007400-T1-p1	LmjF.14.0240_mRNA-p1	LmxM.14.0240.1-p1
OG0001882	LdBPK_140007500.1	LbrM.14.2.000250.1-p1	LINF_140007500-T1-p1	LmjF.14.0250_mRNA-p1	LmxM.14.0250.1-p1
OG0001883	LdBPK_140007600.1	LbrM.14.2.000260.1-p1	LINF_140007600-T1-p1	LmjF.14.0260_mRNA-p1	LmxM.14.0260.1-p1
OG0001884	LdBPK_140007700.1	LbrM.14.2.000270.1-p1	LINF_140007700-T1-p1	LmjF.14.0270_mRNA-p1	LmxM.14.0270.1-p1
OG0001885	LdBPK_140007800.1	LbrM.14.2.000280.1-p1	LINF_140007800-T1-p1	LmjF.14.0280_mRNA-p1	LmxM.14.0280.1-p1
OG0001886	LdBPK_140007900.1	LbrM.14.2.000290.1-p1	LINF_140007900-T1-p1	LmjF.14.0290_mRNA-p1	LmxM.14.0290.1-p1
OG0001887	LdBPK_140008000.1	LbrM.14.2.000300.1-p1	LINF_140008000-T1-p1	LmjF.14.0300_mRNA-p1	LmxM.14.0300.1-p1
OG0001888	LdBPK_140008100.1	LbrM.14.2.000310.1-p1	LINF_140008100-T1-p1	LmjF.14.0310_mRNA-p1	LmxM.14.0310.1-p1
OG0001889	LdBPK_140008200.1	LbrM.14.2.000320.1-p1	LINF_140008200-T1-p1	LmjF.14.0320_mRNA-p1	LmxM.14.0320.1-p1
OG0001890	LdBPK_140008300.1	LbrM.14.2.000330.1-p1	LINF_140008300-T1-p1	LmjF.14.0330_mRNA-p1	LmxM.14.0330.1-p1
OG0001891	LdBPK_140008400.1	LbrM.14.2.000340.1-p1	LINF_140008400-T1-p1	LmjF.14.0340_mRNA-p1	LmxM.14.0340.1-p1
OG0001892	LdBPK_140008500.1	LbrM.14.2.000350.1-p1	LINF_140008500-T1-p1	LmjF.14.0350_mRNA-p1	LmxM.14.0350.1-p1
OG0001893	LdBPK_140008600.1	LbrM.14.2.000360.1-p1	LINF_140008600-T1-p1	LmjF.14.0360_mRNA-p1	LmxM.14.0360.1-p1
OG0001894	LdBPK_140008700.1	LbrM.14.2.000370.1-p1	LINF_140008700-T1-p1	LmjF.14.0370_mRNA-p1	LmxM.14.0370.1-p1
OG0001895	LdBPK_140008800.1	LbrM.14.2.000380.1-p1	LINF_140008800-T1-p1	LmjF.14.0380_mRNA-p1	LmxM.14.0380.1-p1
OG0001896	LdBPK_140009200.1	LbrM.14.2.000410.1-p1	LINF_140009300-T1-p1	LmjF.14.0405_mRNA-p1	LmxM.14.0405.1-p1
